iter	RMSE
0	88649.34421
1	86151.63147
2	83971.41093
3	81857.3874
4	79622.69502
5	77718.76693
6	75958.39812
7	73929.16419
8	72049.43238
9	70419.38899
10	68770.91253
11	67276.47377
12	65632.19731
13	64136.329
14	62971.07672
15	61633.48627
16	60407.55763
17	59189.55547
18	58036.63912
19	56864.75909
20	55833.69071
21	54764.1923
22	53797.37645
23	52845.52001
24	51976.97827
25	51082.60944
26	50146.45081
27	49443.62995
28	48627.46318
29	47731.9667
30	46977.32661
31	46270.83963
32	45562.54731
33	44957.57847
34	44349.26195
35	43614.77116
36	42960.14113
37	42452.61337
38	41826.61769
39	41386.42335
40	40827.5657
41	40366.0434
42	39881.96998
43	39466.40877
44	39051.75383
45	38559.00189
46	38091.40402
47	37569.07749
48	37115.39077
49	36664.38353
50	36281.68962
51	35796.89248
52	35349.78506
53	34910.99291
54	34503.9457
55	34077.62522
56	33648.11757
57	33329.99202
58	32983.12456
59	32763.58769
60	32379.97957
61	32004.22103
62	31710.39063
63	31363.37599
64	31046.91274
65	30793.92793
66	30599.22224
67	30334.24901
68	30120.21259
69	29864.16837
70	29666.42505
71	29373.63435
72	29151.24651
73	28927.95203
74	28700.95502
75	28526.95661
76	28352.36355
77	28128.29496
78	27881.11568
79	27640.29674
80	27404.14881
81	27193.6025
82	26992.52592
83	26814.73823
84	26676.44094
85	26484.40128
86	26314.91977
87	26168.51381
88	25987.25053
89	25850.38306
90	25710.35348
91	25605.55198
92	25468.45835
93	25287.59471
94	25176.53821
95	25101.9344
96	24919.25752
97	24828.52073
98	24682.44139
99	24619.3754
100	24566.76489
101	24525.4754
102	24363.36693
103	24276.35674
104	24197.12389
105	24109.47962
106	23979.0129
107	23906.87314
108	23817.16472
109	23713.58243
110	23656.31478
111	23527.90268
112	23429.19145
113	23324.38316
114	23307.96114
115	23247.63193
116	23151.64313
117	23139.86058
118	23002.92132
119	22991.59257
120	22949.85963
121	22871.89981
122	22813.24711
123	22748.24592
124	22708.02413
125	22657.37896
126	22561.89825
127	22530.07809
128	22518.18244
129	22456.43386
130	22397.62374
131	22326.93284
132	22318.7135
133	22268.90884
134	22186.5485
135	22102.18575
136	22049.55871
137	22040.87626
138	22027.3058
139	21955.78466
140	21926.06825
141	21894.06586
142	21887.01918
143	21814.87627
144	21808.49796
145	21756.62697
146	21749.81622
147	21734.12559
148	21710.34749
149	21679.77791
150	21654.3625
151	21610.39297
152	21604.03601
153	21567.08536
154	21494.29458
155	21469.42118
156	21448.48646
157	21393.09929
158	21321.20679
159	21263.38471
160	21223.40073
161	21183.34553
162	21142.53944
163	21054.45432
164	21029.00988
165	20992.44707
166	20940.8869
167	20907.70686
168	20842.73157
169	20815.13867
170	20753.59151
171	20739.29744
172	20707.06843
173	20702.02664
174	20684.09559
175	20634.76552
176	20615.15218
177	20544.29877
178	20525.21007
179	20451.73559
180	20402.69165
181	20392.16004
182	20356.43377
183	20316.00482
184	20270.68459
185	20250.0645
186	20210.50743
187	20158.69321
188	20137.34976
189	20124.86985
190	20106.25785
191	20065.89179
192	20025.01628
193	19996.15496
194	19969.54771
195	19954.63149
196	19901.25027
197	19861.12477
198	19835.31758
199	19797.8183
200	19786.82958
201	19774.86586
202	19762.69305
203	19709.37383
204	19695.84939
205	19684.23244
206	19664.91147
207	19656.76164
208	19640.31325
209	19603.23106
210	19568.37485
211	19514.02163
212	19493.94144
213	19481.34894
214	19471.67528
215	19431.08106
