iter	RMSE
0	73045.35546
1	71170.58417
2	69182.249
3	67297.12126
4	65632.13027
5	64115.77932
6	62573.52644
7	61115.88759
8	59737.2683
9	58269.32369
10	56926.71117
11	55644.25942
12	54406.93597
13	53209.27661
14	52208.95945
15	51108.26788
16	50066.90767
17	49099.13945
18	48199.65319
19	47192.41847
20	46409.1421
21	45585.44197
22	44842.97298
23	44192.74794
24	43556.72115
25	42852.46336
26	42220.61167
27	41712.60091
28	41089.64882
29	40662.28662
30	40249.31137
31	39694.26622
32	39266.21609
33	38766.61341
34	38321.09819
35	37869.71492
36	37482.88489
37	37160.09098
38	36768.66445
39	36423.00334
40	36102.41586
41	35778.85368
42	35375.39973
43	35086.30663
44	34723.75405
45	34416.23689
46	34167.89897
47	33898.58792
48	33605.18888
49	33307.91632
50	33074.92068
51	32758.8653
52	32548.35575
53	32319.79279
54	32036.81239
55	31812.66468
56	31519.83136
57	31339.54657
58	31171.15115
59	30890.35533
60	30668.07357
61	30445.12399
62	30181.92316
63	29964.3158
64	29804.70805
65	29587.64658
66	29446.18966
67	29309.54572
68	29128.85068
69	28975.50814
70	28804.5662
71	28586.62467
72	28459.10265
73	28265.85166
74	28115.98305
75	28012.36161
76	27818.00905
77	27629.90192
78	27475.54831
79	27335.56282
80	27183.3784
81	27024.48099
82	26891.2744
83	26744.83544
84	26586.76009
85	26495.45317
86	26336.11048
87	26243.0089
88	26149.89795
89	26046.87573
90	25920.44421
91	25831.18119
92	25713.64358
93	25635.03214
94	25519.41178
95	25432.45095
96	25344.49666
97	25239.98072
98	25148.42149
99	25068.12771
100	25001.58111
101	24937.40383
102	24852.99845
103	24793.00732
104	24729.22596
105	24649.84572
106	24548.95195
107	24498.74203
108	24429.69986
109	24349.05007
110	24204.31222
111	24129.15849
112	24054.16196
113	24009.05955
114	23955.08501
115	23844.80053
116	23782.87408
117	23747.57367
118	23697.86823
119	23660.78462
120	23614.4021
121	23549.86106
122	23431.33954
123	23357.97111
124	23270.09378
125	23236.53535
126	23182.58457
127	23116.6426
128	23051.40431
129	23027.95517
130	22973.4421
131	22943.00819
132	22899.0092
133	22877.08083
134	22772.17566
135	22741.84763
136	22664.02244
137	22608.23894
138	22487.32064
139	22431.56175
140	22412.38872
141	22359.09051
142	22318.25952
143	22275.0237
144	22225.00085
145	22175.04673
146	22110.39725
147	22058.74988
148	22009.38577
149	21971.29109
150	21873.8451
151	21833.36957
152	21775.197
153	21716.76874
154	21668.42477
155	21631.48343
156	21587.90899
157	21560.25855
158	21523.17496
159	21485.81685
160	21439.62551
161	21367.13512
162	21349.40633
163	21297.62327
164	21247.71506
165	21203.79797
166	21140.87783
167	21112.54909
168	21079.06148
169	21051.77023
170	21024.12333
171	21010.65867
172	20997.09285
173	20960.31792
174	20896.02009
175	20881.16805
176	20826.01981
177	20773.46033
178	20713.45514
179	20694.4121
180	20674.28197
181	20609.60828
182	20591.14574
183	20562.67307
184	20518.01237
185	20463.88882
186	20433.41156
187	20414.34018
188	20375.82837
189	20339.517
190	20319.12102
191	20300.7423
192	20229.89
193	20199.12617
194	20174.69518
195	20142.84362
196	20130.43041
197	20108.47876
198	20080.14725
199	20062.24899
200	20041.42835
201	19988.32571
202	19972.3824
203	19947.23996
204	19925.19953
205	19866.19354
206	19811.8244
207	19778.55137
208	19741.15847
209	19723.96404
210	19703.46715
211	19659.29396
212	19623.61958
213	19581.70142
214	19560.58155
215	19543.65539
216	19495.15264
217	19471.66137
218	19459.52963
219	19429.25653
220	19417.62099
221	19380.45239
222	19363.59274
223	19342.01139
224	19316.1944
225	19280.55788
226	19258.59587
227	19208.54178
228	19175.45479
229	19147.67553
230	19123.64769
231	19097.30374
232	19037.46644
233	19024.45616
234	18989.78976
235	18964.75155
236	18928.68568
237	18903.93042
238	18879.58673
239	18848.09144
240	18833.07976
241	18809.87293
242	18792.13114
243	18764.76787
244	18750.99659
245	18698.20369
246	18669.67868
247	18642.91459
248	18618.4859
249	18604.24497
250	18579.78583
251	18566.10599
252	18536.10944
253	18505.96053
254	18489.59609
255	18464.29412
256	18439.6001
257	18397.56727
258	18375.93564
259	18347.8354
260	18309.09498
261	18287.64611
262	18273.16583
263	18253.65581
264	18244.90401
265	18226.44042
266	18209.9044
267	18194.18033
268	18176.99241
269	18159.40046
270	18141.28641
271	18120.70937
272	18103.62992
273	18089.41337
274	18077.96147
275	18061.02267
276	18044.60204
277	18036.76736
278	18021.46526
279	17994.74338
280	17984.06098
281	17967.48698
282	17951.37962
283	17924.34931
284	17909.70068
285	17895.59645
286	17881.53252
287	17867.88855
288	17852.18215
289	17810.27172
290	17797.61665
291	17764.75448
292	17744.82512
293	17727.23885
294	17712.7635
295	17698.1413
296	17681.54667
297	17667.52736
298	17630.12551
299	17614.92739
300	17596.69868
301	17584.34448
302	17574.18867
303	17556.28257
304	17529.43971
305	17510.8778
306	17494.28848
307	17482.05519
308	17468.63473
309	17432.15015
310	17418.23509
311	17387.08829
312	17369.82196
313	17354.24178
314	17330.00058
315	17304.99704
316	17293.30505
317	17259.58325
318	17250.60684
319	17232.9875
320	17220.85757
321	17208.39772
322	17196.37577
323	17186.60566
324	17175.12301
325	17159.08382
326	17147.39936
327	17137.2444
328	17126.24841
329	17108.29068
330	17098.69258
331	17088.48144
332	17078.59612
333	17069.02477
334	17055.41845
335	17031.7324
336	17019.53245
