iter	RMSE
0	256709.603
1	247881.7007
2	239771.4612
3	231911.4876
4	224212.3521
5	216845.272
6	210353.1111
7	204455.7999
8	198568.0796
9	193413.3044
10	188280.6365
11	183332.6711
12	178882.4485
13	174811.614
14	170633.6215
15	166738.1234
16	163148.9589
17	160002.8108
18	156831.5073
19	154089.9192
20	151313.1315
21	148547.1254
22	146425.7967
23	144357.1474
24	142365.5679
25	140320.6649
26	138603.6006
27	136757.4559
28	135118.1275
29	133548.1308
30	132249.4017
31	131001.074
32	129706.7626
33	128649.4498
34	127415.0966
35	126498.4632
36	125566.2453
37	124416.3427
38	123531.4778
39	122589.6179
40	121636.1373
41	120786.9679
42	120091.5569
43	119418.9338
44	118889.6371
45	118255.1141
46	117539.2528
47	116938.4772
48	116219.8793
49	115652.6898
50	115045.3724
51	114583.4538
52	114185.8347
53	113500.4767
54	112987.4197
55	112432.535
56	111933.5763
57	111552.673
58	111246.8559
59	110910.6934
60	110520.4674
61	110165.8533
62	109788.5237
63	109414.8665
64	108848.2913
65	108555.6382
66	108084.9991
67	107750.3837
68	107534.2774
69	107163.7411
70	106787.0427
71	106488.2516
72	106140.3754
73	105822.3332
74	105634.805
75	105422.1225
76	105093.8483
77	104594.5239
78	104389.2209
79	104088.9644
80	103554.4133
81	103254.8654
82	103012.9091
83	102805.2145
84	102611.2424
85	102360.2938
86	102017.0145
87	101693.743
88	101521.0124
89	101279.4805
90	100775.6657
91	100631.1212
92	100285.7342
93	99932.60082
94	99672.48069
95	99524.62587
96	99354.03198
97	99044.78957
98	98843.57011
99	98603.6883
100	98427.626
101	98076.84788
102	97847.15591
103	97614.56372
104	97449.90908
105	97216.90338
106	97042.1594
107	96584.17653
108	96426.09804
109	96354.29011
110	96023.23623
111	95845.37924
112	95626.12331
113	95448.66457
114	95365.43898
115	95221.12802
116	95167.41703
117	94954.21764
118	94778.83278
119	94705.36027
120	94621.55949
121	94480.35812
122	94254.53458
123	94225.77185
124	94197.94698
125	93926.73595
126	93663.1746
127	93347.76601
128	93181.00427
129	92941.96253
130	92741.72421
131	92596.51874
132	92414.72701
133	92223.15587
134	92035.34104
135	91843.88102
136	91736.24743
137	91548.44126
138	91334.87302
139	91105.31326
140	90982.79046
141	90863.56295
142	90745.51788
143	90649.25899
144	90523.27637
145	90321.86189
146	90232.16422
147	90052.5685
148	89958.74114
149	89853.25899
150	89587.21138
151	89564.04221
152	89474.11905
153	89453.50227
154	89432.14659
155	89215.89516
156	89196.23807
157	89049.99935
158	88793.64778
159	88672.06227
160	88583.78133
161	88518.31455
162	88389.06041
163	88249.38001
164	88081.47854
165	87952.25061
166	87822.33015
167	87718.18021
168	87600.20809
169	87498.56388
170	87463.35752
171	87447.1579
172	87289.75621
173	87271.70882
174	87057.33225
175	86838.87161
176	86706.60322
177	86616.39387
178	86490.66335
179	86409.83568
180	86315.68294
181	86210.61862
182	86120.99148
183	86027.47544
184	85875.69696
185	85623.65085
186	85538.44086
187	85366.98625
188	85106.88212
189	84926.59093
190	84837.80937
191	84754.36218
192	84695.61945
193	84617.94166
194	84544.08906
195	84366.62259
196	84287.96531
197	84223.82493
198	84156.59107
199	83927.43187
200	83862.80678
201	83767.52116
202	83645.60649
203	83575.06112
204	83340.25295
205	83279.57307
206	83113.70807
207	82959.28204
208	82882.42878
209	82826.0136
210	82775.51025
211	82701.9274
212	82485.92952
213	82402.4279
214	82202.3002
215	82079.77529
216	81937.03587
217	81757.32465
218	81678.69534
219	81408.6528
220	81307.24875
221	81166.70881
222	81092.17131
223	80926.34382
224	80802.16236
225	80652.00825
226	80605.59033
227	80558.61311
228	80472.0575
229	80430.12961
230	80388.41262
231	80327.5988
232	80201.06492
233	80017.66915
234	79865.62782
235	79715.7889
236	79598.58788
237	79558.06642
238	79375.65313
239	79340.06783
240	79120.5068
241	79081.87409
242	78953.07471
243	78862.24302
244	78710.7806
245	78602.49843
246	78464.30964
247	78390.76432
248	78340.97322
249	78090.60891
250	77970.26473
251	77806.4809
252	77675.08172
253	77643.86749
254	77506.74109
255	77383.40821
256	77329.78475
257	77133.78765
258	77073.67431
259	76973.88972
260	76878.74522
261	76789.28386
262	76680.5087
263	76579.23731
264	76422.99333
265	76264.68919
266	76166.6192
267	75960.42068
268	75740.03402
269	75567.30208
270	75445.46085
271	75296.55792
272	75072.08013
273	75003.16563
274	74942.75833
275	74911.72244
276	74793.64452
277	74686.79871
278	74637.74351
279	74454.60955
280	74273.16935
281	74217.09103
282	74160.07016
283	73908.55923
284	73709.53062
285	73622.58413
286	73472.91293
287	73352.09226
288	73318.65411
289	73282.46583
290	73173.07147
291	73062.50743
292	72936.32251
293	72882.49936
294	72785.66514
295	72699.88929
296	72578.27549
297	72428.01025
298	72299.59661
299	72191.2737
300	72159.11477
301	72023.40638
302	71979.59567
303	71865.27112
304	71753.90315
305	71693.79793
306	71556.95475
307	71421.66788
308	71307.27346
309	71264.58472
310	71190.55958
311	71089.13122
312	71055.69605
313	71036.09562
314	70939.36223
315	70861.88743
316	70785.84893
317	70711.048
318	70666.0794
319	70596.83425
320	70551.26572
321	70459.83743
322	70307.00782
323	70222.06165
324	70137.90799
325	70017.71537
326	69904.7119
327	69833.46972
328	69682.04594
329	69655.12153
330	69534.16674
331	69471.18883
332	69379.39505
333	69276.30548
334	69271.19768
335	69181.97748
336	69114.15777
337	69077.14703
338	68980.53762
339	68910.82032
340	68846.77028
341	68781.06865
342	68726.39846
343	68657.07966
344	68586.79355
345	68516.98963
346	68451.06336
347	68414.42646
348	68365.2726
349	68349.91755
350	68308.07837
351	68196.93465
352	68026.35651
353	67972.86596
354	67909.10767
355	67836.53218
356	67783.30719
357	67718.05296
358	67691.78381
359	67623.50268
360	67563.10006
361	67487.45581
362	67419.31982
363	67346.18756
364	67259.85272
365	67228.94697
366	67191.12935
367	67112.03261
368	67101.51107
369	67085.08442
370	67063.88776
371	66943.22712
372	66898.82513
373	66841.47909
374	66765.60359
375	66691.82253
376	66651.35965
377	66571.05457
378	66524.41768
379	66441.3836
380	66349.82936
381	66278.26181
382	66187.04828
383	66123.10777
384	66021.59461
385	65991.81142
386	65820.05724
387	65689.78035
388	65607.89901
389	65551.45198
390	65465.12389
391	65412.0103
392	65359.48191
393	65231.48543
394	65187.41298
395	65167.36988
396	65122.29174
397	65083.9106
398	64968.12633
399	64898.78182
400	64883.44487
401	64796.82062
402	64757.86463
403	64693.96671
404	64660.28937
405	64620.01642
406	64521.9111
407	64437.35849
408	64414.53622
409	64310.6834
410	64253.24474
411	64250.01462
412	64197.09282
413	64141.83517
414	64063.10682
415	64031.74009
416	63972.14657
417	63925.99768
418	63879.53428
419	63878.40377
420	63825.13817
421	63692.5738
422	63674.14983
423	63605.82155
424	63516.02175
425	63478.78917
426	63421.06548
427	63372.43582
428	63310.06549
429	63277.94704
430	63224.55157
431	63156.58379
432	63088.82972
433	63086.07289
434	62967.03503
435	62910.38048
436	62795.24409
437	62756.74976
438	62654.93617
439	62595.38526
440	62555.10665
441	62507.71831
442	62470.37909
443	62396.28185
444	62347.48343
445	62301.12131
446	62251.69845
447	62138.90888
448	62133.33549
449	62127.59743
450	62081.64399
451	62074.56365
452	62022.76185
453	61959.59475
454	61935.95954
455	61846.21621
456	61753.39648
457	61695.63845
458	61639.19975
459	61589.29026
460	61522.28099
461	61464.80598
462	61430.42511
463	61375.38206
464	61374.38987
465	61330.49505
466	61290.87496
467	61205.06005
468	61197.40767
469	61196.46242
470	61130.6064
471	61050.37547
472	60999.38776
473	60943.53718
474	60894.43357
475	60791.20985
476	60708.36357
477	60690.59882
478	60666.21918
479	60656.48646
480	60602.86973
481	60567.70569
482	60514.82573
483	60467.70228
484	60380.03022
485	60372.77502
486	60286.90156
487	60243.80329
488	60219.50047
489	60181.03647
490	60147.58633
491	60063.7143
492	60027.89032
493	60017.32613
494	59984.31348
495	59922.15865
496	59915.62216
497	59886.03243
498	59839.69859
499	59793.33373
500	59752.25895
501	59705.37246
502	59639.87585
503	59603.32594
504	59566.95065
505	59498.46363
506	59460.25688
507	59423.59596
508	59378.53761
509	59346.39523
510	59305.17774
511	59244.98946
512	59212.65017
513	59165.90519
514	59094.39647
515	59062.5338
516	59033.37337
517	58995.19053
518	58936.23009
519	58853.47017
520	58836.04223
521	58781.22046
522	58716.1827
523	58676.69061
524	58625.85761
525	58608.36252
526	58560.15645
527	58531.56563
528	58501.26029
529	58488.91594
530	58456.5738
531	58416.98503
532	58407.0306
533	58343.59395
534	58294.49385
535	58254.60514
536	58251.4015
537	58220.8489
538	58191.80177
539	58166.07667
540	58090.59075
541	58024.65519
542	57989.40794
543	57947.01943
544	57911.31425
545	57890.77108
546	57860.22139
547	57818.03312
548	57776.16165
549	57729.34356
550	57714.0115
551	57672.00461
552	57636.59033
553	57608.95993
554	57568.35164
555	57565.25257
556	57529.94361
557	57498.82169
558	57470.08085
559	57403.60647
560	57344.38839
561	57308.53367
562	57298.50976
563	57247.04576
564	57204.76325
565	57168.60882
566	57160.15591
567	57135.49549
568	57098.92455
569	57076.95069
570	57040.13287
571	57010.2863
572	56923.54923
573	56867.41888
574	56796.15971
575	56782.43698
576	56744.45449
577	56718.35831
578	56685.6458
579	56654.62712
580	56634.7297
581	56604.70179
582	56524.61633
583	56467.98079
584	56432.57304
585	56389.9602
586	56355.27848
587	56326.16391
588	56282.08658
589	56264.04838
590	56244.365
591	56165.77357
592	56152.87879
593	56138.26451
594	56118.742
595	56078.38371
596	56044.89008
597	56030.68512
598	55984.98928
599	55921.6839
600	55887.62087
601	55842.69569
602	55787.68515
603	55755.0396
604	55728.95541
605	55689.74899
606	55685.74017
607	55644.85418
608	55608.16114
609	55576.64821
610	55550.25092
611	55523.74556
612	55459.83738
613	55448.7547
614	55410.22739
615	55373.19663
616	55364.96887
617	55319.1185
618	55286.88899
619	55258.07183
620	55224.47412
621	55202.8128
622	55150.4362
623	55117.95302
624	55111.62468
625	55106.50919
626	55072.75782
627	55065.19258
628	55023.892
629	54995.65023
630	54938.64512
631	54921.21227
632	54883.57372
633	54849.68786
634	54825.92165
635	54781.94187
636	54755.35123
637	54741.31712
638	54708.26664
639	54687.0887
640	54667.93766
641	54647.65008
642	54628.03757
643	54585.82593
644	54545.76133
645	54544.274
646	54519.24082
647	54492.24863
648	54471.09007
649	54456.86345
650	54409.44233
651	54398.68598
652	54352.83913
653	54322.08362
654	54312.37158
655	54287.35022
656	54251.10051
657	54207.73208
658	54186.13132
659	54145.90685
660	54117.57989
661	54093.69012
662	54076.51772
663	54074.52512
664	54025.76675
665	54010.72106
666	53983.93484
667	53960.3787
668	53939.82266
669	53904.38652
670	53863.48115
671	53849.65864
672	53805.73742
673	53783.55659
674	53754.91755
675	53754.27388
676	53712.73703
677	53683.32088
678	53642.26646
679	53603.62787
680	53583.69743
681	53548.09806
682	53544.40608
683	53525.81826
684	53497.59554
685	53471.41524
686	53434.27951
687	53387.22863
688	53372.21711
689	53341.6323
690	53316.67549
691	53290.11198
692	53289.69137
693	53250.1092
694	53224.18527
695	53182.54613
696	53129.0369
697	53094.65362
698	53089.84252
699	53045.80785
700	53011.34031
701	52979.15005
702	52946.65412
703	52937.42682
704	52912.77261
705	52888.43159
706	52857.24789
707	52825.76335
708	52789.72789
709	52765.77047
710	52765.36312
711	52738.64296
712	52685.97461
713	52650.47989
714	52602.22185
715	52579.4072
716	52555.6818
717	52513.86257
718	52508.4859
719	52490.00116
720	52473.94358
721	52461.65508
722	52449.0121
723	52427.1776
724	52410.10936
725	52397.43353
726	52392.49705
727	52351.95351
728	52321.42545
729	52296.05547
730	52263.77553
731	52240.27843
732	52220.87873
733	52188.56714
734	52172.71895
735	52149.63303
736	52094.83578
737	52078.15191
738	52052.32004
739	52024.84528
740	51997.90881
741	51962.33414
742	51936.70798
743	51919.23411
744	51915.7212
745	51902.81478
746	51878.49667
747	51847.08117
748	51821.35004
749	51818.25786
750	51786.94573
751	51762.948
752	51741.19118
753	51715.17188
754	51688.18526
755	51674.16382
756	51668.48032
757	51665.4221
758	51642.44237
759	51620.93663
760	51595.4377
761	51572.02786
762	51551.0294
763	51545.06889
764	51541.76087
765	51522.26033
766	51500.02947
767	51479.48126
768	51455.13353
769	51425.42184
770	51397.26355
771	51365.19846
772	51343.71751
773	51327.76406
774	51304.17629
775	51292.26619
776	51275.72872
777	51265.90366
778	51248.21757
779	51211.14422
780	51185.21311
781	51171.01101
782	51152.4247
783	51128.11884
784	51106.45084
785	51072.32616
786	51041.24497
787	51012.18089
788	50995.18217
789	50981.75319
790	50961.43082
791	50939.34632
792	50917.79282
793	50903.65816
794	50899.96808
795	50860.89619
796	50837.48675
797	50808.81945
798	50803.01039
799	50794.51321
800	50770.04163
801	50742.14939
802	50723.16266
803	50705.19329
804	50675.49422
805	50665.02028
806	50629.06138
807	50609.08301
808	50559.79791
809	50554.00594
810	50550.23051
811	50533.6384
812	50525.36344
813	50503.26327
814	50489.01565
815	50478.61098
816	50453.22601
817	50428.48006
818	50401.3513
819	50394.40931
820	50359.09501
821	50342.51078
822	50319.19526
823	50302.2588
824	50283.52018
825	50257.56192
826	50222.97494
827	50207.16594
828	50191.60554
829	50176.7764
830	50152.11612
831	50125.92136
832	50101.91764
833	50093.43895
834	50075.87656
835	50059.73677
836	50046.23854
837	50028.77011
838	49998.60769
839	49977.73237
840	49954.04159
841	49926.38632
842	49906.39144
843	49886.91341
844	49863.74298
845	49831.49668
846	49812.32056
847	49782.43446
848	49764.21935
849	49740.61291
850	49715.72648
851	49675.79697
852	49657.62039
853	49637.50517
854	49606.36018
855	49586.76471
856	49571.53474
857	49546.70108
858	49532.98056
859	49499.97675
860	49464.63621
861	49435.31914
862	49413.06387
863	49400.50235
864	49384.99227
865	49367.87753
866	49335.42847
867	49327.58801
868	49296.22369
869	49275.01185
870	49250.07058
871	49232.18971
872	49231.95359
873	49203.64669
874	49198.49461
875	49184.77031
876	49161.03125
877	49145.02214
878	49106.77025
879	49095.7974
880	49080.02958
881	49065.21534
