iter	Passed	Remaining
0	1	1888
1	3	1916
2	6	2066
3	7	1840
4	8	1734
5	10	1657
6	11	1568
7	12	1500
8	13	1443
9	14	1390
10	15	1375
11	16	1346
12	18	1393
13	19	1375
14	20	1366
15	25	1545
16	26	1520
17	28	1531
18	29	1519
19	30	1504
20	32	1496
21	35	1560
22	37	1614
23	40	1626
24	41	1624
25	43	1619
26	44	1615
27	46	1604
28	47	1597
29	49	1595
30	50	1592
31	53	1618
32	55	1611
33	56	1603
34	57	1595
35	58	1574
36	60	1573
37	61	1567
38	62	1545
39	63	1522
40	64	1502
41	65	1485
42	66	1469
43	66	1451
44	67	1435
45	68	1418
46	69	1403
47	70	1388
48	70	1376
49	71	1366
50	73	1364
51	74	1355
52	75	1343
53	76	1332
54	76	1319
55	77	1307
56	78	1296
57	79	1285
58	79	1274
59	80	1264
60	81	1257
61	82	1249
62	83	1241
63	84	1233
64	85	1227
65	86	1221
66	87	1213
67	87	1205
68	88	1197
69	89	1189
70	90	1183
71	91	1177
72	92	1170
73	93	1164
74	93	1157
75	94	1150
76	95	1144
77	96	1138
78	97	1132
79	98	1128
80	99	1127
81	101	1138
82	102	1135
83	103	1131
84	104	1126
85	105	1120
86	106	1114
87	107	1109
88	107	1103
89	108	1097
90	109	1092
91	110	1086
92	110	1081
93	111	1077
94	112	1072
95	113	1067
96	114	1063
97	115	1059
98	115	1054
99	116	1050
100	117	1046
101	118	1042
102	119	1037
103	119	1033
104	120	1029
105	121	1025
106	122	1021
107	123	1018
108	124	1014
109	124	1010
110	125	1006
111	126	1003
112	127	1004
113	128	1001
114	129	999
115	131	1002
116	132	998
117	133	995
118	134	992
119	134	989
120	135	986
121	136	982
122	137	979
123	138	975
124	138	972
125	139	969
126	140	966
127	141	963
128	142	960
129	143	958
130	144	955
131	144	952
132	145	950
133	146	947
134	147	945
135	148	944
136	149	942
137	150	939
138	151	937
139	152	935
140	153	932
141	156	946
142	158	948
143	159	946
144	160	945
145	161	945
146	162	945
147	164	944
148	165	943
149	166	942
150	167	941
151	168	939
152	169	937
153	170	934
154	171	933
155	172	931
156	173	929
157	174	927
158	174	925
159	175	922
160	176	920
161	177	917
162	178	916
163	179	916
164	180	914
165	181	912
166	182	910
167	183	909
168	184	907
169	185	905
170	186	903
171	187	901
172	188	900
173	189	898
174	191	900
175	192	899
176	192	897
177	193	895
178	195	896
179	196	894
180	197	892
181	198	890
182	198	887
183	199	885
184	200	883
185	201	882
186	202	880
187	203	880
188	204	878
189	205	876
190	206	874
191	207	872
192	208	871
193	209	870
194	212	876
195	213	874
196	213	871
197	214	869
198	216	870
199	217	871
200	219	872
201	221	873
202	222	873
203	223	873
204	225	874
205	227	876
206	229	878
207	230	878
208	232	879
209	233	880
210	235	881
211	237	882
212	239	885
213	241	887
214	244	890
215	245	892
216	247	893
217	249	894
218	250	894
219	252	895
220	254	897
221	256	898
222	258	900
223	260	903
224	262	905
225	264	907
226	266	907
227	268	908
228	269	908
229	271	908
230	272	908
231	274	910
232	277	912
233	278	910
234	279	909
235	280	908
236	281	905
237	282	904
238	283	902
239	284	900
240	285	898
241	286	896
242	287	894
243	288	893
244	289	891
245	290	889
246	293	893
247	294	892
248	295	890
249	296	888
250	297	887
251	299	887
252	300	888
253	302	887
254	303	887
255	305	887
256	307	888
257	308	887
258	310	888
259	312	890
260	314	891
261	316	891
262	318	891
263	319	891
264	321	891
265	323	892
266	325	893
267	327	893
268	328	892
269	330	893
270	331	892
271	333	892
272	334	891
273	335	889
274	336	886
275	337	885
276	338	884
277	339	882
278	340	880
279	341	878
280	342	876
281	343	874
282	344	872
283	345	871
284	346	869
285	347	867
286	348	865
287	349	863
288	349	860
289	350	858
290	351	856
291	352	854
292	353	852
293	354	850
294	355	848
295	355	846
296	356	844
297	357	842
298	358	840
299	359	837
300	359	835
301	360	833
302	361	831
303	362	829
304	362	827
305	363	824
306	364	822
307	365	820
308	366	818
309	366	816
310	367	814
311	368	812
312	369	810
313	370	809
314	371	807
315	372	805
316	373	804
317	374	802
318	374	800
319	375	798
320	378	800
321	379	798
322	380	797
323	381	795
324	382	794
325	383	792
326	384	791
327	386	791
328	388	792
329	390	791
330	391	790
331	392	789
332	393	787
333	394	785
334	394	784
335	396	784
336	397	782
337	398	781
338	399	779
339	400	777
340	401	776
341	402	774
342	403	772
343	404	770
344	404	768
345	405	766
346	406	764
347	407	762
348	408	761
349	408	759
350	411	761
351	413	760
352	414	759
353	415	757
354	415	755
355	416	753
356	417	752
357	418	750
358	419	749
359	421	750
360	423	749
361	424	748
362	425	746
363	426	744
364	427	743
365	428	741
366	429	740
367	430	738
368	430	736
369	431	734
370	432	733
371	433	731
372	434	730
373	435	728
374	436	727
375	437	725
376	438	724
377	440	724
378	441	723
379	443	723
