Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2017,Maruti,Ertiga,Manual,101647,3rd Owner,Diesel,GJ-01,Ahmedabad,716000
2018,Maruti,Dzire,Manual,30303,1st Owner,Petrol,KA-03,Bengaluru,557000
2014,Maruti,Celerio,Automatic,27939,1st Owner,Petrol,MH-02,Pune,376000
2016,Maruti,Swift Dzire,Manual,82298,1st Owner,Petrol,DL-4C,Noida,482000
2011,Maruti,Swift,Manual,61896,1st Owner,Petrol,DL-12,Noida,312000
2012,Maruti,Ritz,Manual,97419,2nd Owner,Diesel,TN-02,Chennai,347000
2018,Maruti,Swift,Manual,54309,2nd Owner,Petrol,DL-9C,Noida,465000
2020,Maruti,IGNIS,Automatic,52819,1st Owner,Petrol,BR-01,Patna,611000
2013,Maruti,Alto 800,Manual,47583,1st Owner,Petrol,WB-02,Kolkata,196000
2021,Maruti,Swift,Manual,15218,1st Owner,Petrol,PB-08,Chandigarh,680000
2011,Maruti,A Star,Automatic,56992,1st Owner,Petrol,RJ-14,Mansarovar,269000
2012,Maruti,Wagon R 1.0,Manual,95778,3rd Owner,CNG,GJ-05,Surat,212000
2010,Maruti,Zen Estilo,Manual,82224,1st Owner,Petrol,DL-3C,Ahmedabad,157000
2016,Maruti,Alto 800,Manual,46543,1st Owner,Petrol,DL-6C,New Delhi,226000
2016,Maruti,Swift Dzire,Manual,79683,1st Owner,Diesel,RJ-14,Jaipur,541000
2012,Maruti,Swift Dzire,Manual,38319,1st Owner,Petrol,KA-02,Bengaluru,424000
2015,Maruti,Alto 800,Manual,16285,1st Owner,Petrol,MP-04,Lasudia Mori,306000
2013,Maruti,Swift Dzire,Manual,72552,2nd Owner,Diesel,MH-03,Mumbai,469000
2018,Maruti,Vitara Brezza,Manual,89047,1st Owner,Diesel,HR-26,Gurugram,574000
2011,Maruti,Alto,Manual,52743,1st Owner,Petrol,MH-12,Pune,197000
2010,Maruti,Swift,Manual,82909,1st Owner,Petrol,CH-01,Chandigarh,232000
2019,Maruti,Dzire,Automatic,49984,1st Owner,Petrol,GJ-05,Surat,649000
2010,Maruti,A Star,Manual,49743,1st Owner,Petrol,MH-03,Nasik,164000
2021,Maruti,New Wagon-R,Manual,26440,1st Owner,CNG,PB-70,Ludhiana,570000
2018,Maruti,Alto 800,Manual,12443,1st Owner,Petrol,GJ-03,Rajkot,334000
2015,Maruti,Swift,Manual,124318,3rd Owner,Diesel,GJ-03,Rajkot,371000
2011,Maruti,Ritz,Manual,81738,1st Owner,Petrol,TN-22,Chennai,302000
2017,Maruti,Wagon R 1.0,Manual,71220,1st Owner,CNG,HR-10,Faridabad,386000
2019,Maruti,S PRESSO,Manual,55685,2nd Owner,Petrol,UP-32,Noida,366000
2018,Maruti,Ertiga,Manual,52724,1st Owner,Diesel,GJ-06,Ahmedabad,881000
2021,Maruti,Baleno,Manual,38708,1st Owner,Petrol,CH-01,Chandigarh,737000
2017,Maruti,Vitara Brezza,Manual,36201,2nd Owner,Diesel,BR-02,Patna,645000
2017,Maruti,Alto 800,Manual,84685,1st Owner,Petrol,MH-12,Pune,318000
2014,Maruti,Alto 800,Manual,35591,2nd Owner,Petrol,RJ-14,Mansarovar,242000
2018,Maruti,Dzire,Manual,72038,3rd Owner,Diesel,MP-09,Lasudia Mori,576000
2021,Maruti,Ertiga,Manual,19164,1st Owner,Petrol,GJ-16,Ahmedabad,1115000
2016,Maruti,Swift,Manual,53917,2nd Owner,Diesel,TN-02,Coimbatore,625000
2013,Maruti,Alto 800,Manual,31201,1st Owner,Petrol,MH-14,Pune,215000
2011,Maruti,Ritz,Manual,59680,1st Owner,Petrol,DL-6C,Gurugram,192000
2014,Maruti,Swift,Manual,62029,1st Owner,Petrol,KA-03,Bengaluru,516000
2017,Maruti,Wagon R 1.0,Manual,75047,1st Owner,Petrol,DL-1C,Ghaziabad,337000
2021,Maruti,Dzire,Manual,13324,1st Owner,Petrol,TN-58,Coimbatore,705000
2018,Maruti,Swift,Automatic,99007,2nd Owner,Diesel,TS-11,Hyderabad,721000
2011,Maruti,Alto,Manual,14547,1st Owner,Petrol,WB-06,Kolkata,137000
2015,Maruti,Alto 800,Manual,19819,2nd Owner,Petrol,KL-29,Kochi,302000
2010,Maruti,Ritz,Manual,76599,2nd Owner,Petrol,AP-29,Hyderabad,259000
2017,Maruti,Dzire,Manual,80281,1st Owner,Petrol,TN-10,Chennai,668000
2019,Maruti,Swift,Manual,39280,2nd Owner,Petrol,GJ-05,Surat,572000
2016,Maruti,Vitara Brezza,Manual,64794,1st Owner,Diesel,UP-14,Lucknow,599000
2016,Maruti,Swift Dzire,Manual,61371,1st Owner,Petrol,UP-32,Lucknow,445000
2021,Maruti,Vitara Brezza,Manual,34541,1st Owner,Petrol,PB-65,Ludhiana,907000
2018,Maruti,Dzire,Automatic,73636,1st Owner,CNG,GJ-01,Ahmedabad,657000
2021,Maruti,Dzire,Manual,17552,2nd Owner,Petrol,BR-01,Patna,767000
2017,Maruti,Alto K10,Manual,30446,2nd Owner,Petrol,DL-9C,New Delhi,305000
2016,Maruti,Vitara Brezza,Manual,99232,1st Owner,Diesel,KA-50,Bengaluru,830000
2013,Maruti,Wagon R 1.0,Manual,46225,1st Owner,Petrol,MH-12,Pune,343000
2015,Maruti,Alto K10,Manual,58475,1st Owner,Petrol,HR-51,Gurugram,241000
2015,Maruti,Ertiga,Manual,31208,1st Owner,Petrol,KA-01,Bengaluru,794000
2015,Maruti,Alto K10,Automatic,67182,2nd Owner,Petrol,MH-12,Pune,348000
2018,Maruti,Alto K10,Manual,24379,1st Owner,Petrol,TS-11,Hyderabad,356000
2012,Maruti,Wagon R 1.0,Manual,104554,3rd Owner,CNG,MH-03,Mumbai,223000
2014,Maruti,Wagon R 1.0,Manual,72017,2nd Owner,Petrol,WB-02,Kolkata,284000
2014,Maruti,Alto K10,Manual,51156,1st Owner,Petrol,UP-32,Lucknow,254000
2014,Maruti,Alto K10,Manual,47899,1st Owner,Petrol,HR-36,Faridabad,273000
2015,Maruti,Swift Dzire,Manual,38338,1st Owner,Petrol,MP-04,Lasudia Mori,505000
2017,Maruti,Swift,Manual,65034,1st Owner,Petrol,TN-22,Chennai,559000
2016,Maruti,Alto 800,Manual,26851,2nd Owner,Petrol,KA-21,Bengaluru,289000
2018,Maruti,Celerio,Manual,65959,1st Owner,Petrol,CH-01,Chandigarh,396000
2015,Maruti,Alto K10,Automatic,29293,1st Owner,Petrol,DL-3C,New Delhi,343000
2018,Maruti,Dzire,Automatic,73705,1st Owner,Petrol,HR-26,Gurugram,647000
2018,Maruti,Alto K10,Automatic,29096,1st Owner,Petrol,WB-20,Kolkata,343000
2016,Maruti,Wagon R 1.0,Manual,64642,1st Owner,Petrol,DL-2C,Noida,359000
2017,Maruti,Baleno,Manual,57996,1st Owner,Petrol,DL-6C,Noida,524000
2022,Maruti,Baleno,Manual,41405,1st Owner,Petrol,BR-01,Patna,643000
2017,Maruti,Celerio,Manual,40997,2nd Owner,Petrol,KA-03,Bengaluru,456000
2018,Maruti,Wagon R 1.0,Manual,58165,2nd Owner,Petrol,MP-04,Lasudia Mori,383000
2016,Maruti,Ciaz,Manual,45173,3rd Owner,Petrol,MH-12,Pune,577000
2014,Maruti,Wagon R 1.0,Manual,82391,1st Owner,Petrol,KA-04,Bengaluru,328000
2019,Maruti,Baleno,Manual,15480,1st Owner,Petrol,HR-26,Gurugram,624000
2019,Maruti,Alto,Manual,25486,2nd Owner,Petrol,DL-8C,Noida,382000
2021,Maruti,Baleno,Automatic,22474,1st Owner,Petrol,BR-01,Patna,840000
2018,Maruti,Ertiga,Manual,67739,1st Owner,Diesel,MH-47,Pune,913000
2015,Maruti,Ciaz,Manual,84617,2nd Owner,Diesel,MH-40,Nagpur,599000
2015,Maruti,Alto 800,Manual,72796,1st Owner,Petrol,UP-80,Lucknow,213000
2011,Maruti,Swift,Manual,67009,2nd Owner,Petrol,GJ-01,Ahmedabad,335000
2014,Maruti,Swift,Manual,75360,2nd Owner,Diesel,CH-01,Chandigarh,381000
2012,Maruti,Swift Dzire,Manual,61036,1st Owner,Petrol,KA-04,Bengaluru,493000
2016,Maruti,Baleno,Manual,68584,1st Owner,Petrol,DL-10,Noida,454000
2018,Maruti,Wagon R 1.0,Manual,78901,1st Owner,CNG,MH-05,Nasik,456000
2015,Maruti,Alto K10,Manual,36627,1st Owner,Petrol,HR-03,Chandigarh,302000
2017,Maruti,Wagon R 1.0,Automatic,69159,1st Owner,Petrol,RJ-02,Mansarovar,412000
