Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2016,Honda,City,Automatic,37220,1st Owner,Petrol,KA-51,Bengaluru,832000
2017,Honda,Jazz,Manual,53491,2nd Owner,Petrol,DL-14,New Delhi,517600
2012,Maruti,Ritz,Manual,118173,2nd Owner,Diesel,AP-28,Hyderabad,313000
2012,Hyundai,i20,Manual,40451,1st Owner,Diesel,KA-51,Bengaluru,452000
2020,Honda,City,Automatic,25960,1st Owner,Petrol,GJ-01,Ahmedabad,968000
2019,Maruti,Vitara Brezza,Automatic,45144,1st Owner,Diesel,DL-9C,Noida,850000
2017,Maruti,Baleno,Manual,51768,1st Owner,Petrol,MH-01,Mumbai,568000
2011,Maruti,Swift,Manual,82091,3rd Owner,Petrol,MH-12,Pune,305000
2016,Renault,Kwid,Manual,22869,1st Owner,Petrol,MH-12,Pune,322000
2016,Hyundai,Elite i20,Manual,56136,2nd Owner,Petrol,DL-10,New Delhi,523000
2016,Hyundai,Elite i20,Manual,49441,1st Owner,Petrol,HR-26,Faridabad,556000
2017,Honda,WR-V,Manual,56507,2nd Owner,Petrol,MH-12,Pune,634000
2019,Maruti,Celerio,Manual,71910,1st Owner,CNG,HR-13,Gurugram,465200
2018,Maruti,Wagon R 1.0,Automatic,35547,1st Owner,Petrol,KL-24,Kochi,458000
2016,Maruti,Swift Dzire,Manual,117097,1st Owner,Diesel,MH-12,Pune,630000
2018,Honda,Amaze,Manual,70968,1st Owner,Petrol,KA-03,Bengaluru,617000
2013,Honda,Amaze,Manual,18547,1st Owner,Petrol,MH-12,Pune,368000
2014,Hyundai,Grand i10,Manual,38709,1st Owner,Petrol,MH-14,Pune,413000
2017,Maruti,Alto K10,Automatic,63016,1st Owner,Petrol,MH-14,Pune,355000
2022,Tata,Safari,Automatic,19760,1st Owner,Diesel,GJ-01,Ahmedabad,1874000
2015,Maruti,Wagon R 1.0,Manual,9934,1st Owner,Petrol,MH-05,Mumbai,380000
2010,Maruti,Zen Estilo,Manual,35817,1st Owner,Petrol,DL-9C,New Delhi,147000
2015,Maruti,Swift,Manual,70706,1st Owner,Petrol,DL-8C,New Delhi,374000
2013,Maruti,Swift,Manual,70041,2nd Owner,CNG,UP-16,Ghaziabad,372600
2018,Renault,Kwid,Manual,37418,2nd Owner,Petrol,KA-53,Bengaluru,402000
2015,Hyundai,Grand i10,Manual,61105,1st Owner,Petrol,KA-05,Bengaluru,507000
2016,Maruti,Ciaz,Manual,96802,2nd Owner,Petrol,DL-8C,New Delhi,553000
2021,Maruti,Swift,Automatic,21547,2nd Owner,Petrol,HR-26,Gurugram,802000
2018,Maruti,Baleno,Automatic,20578,2nd Owner,Petrol,MH-02,Mumbai,616000
2016,Maruti,Baleno,Manual,78911,2nd Owner,Petrol,TS-07,Hyderabad,614000
2021,Tata,NEXON,Manual,26533,1st Owner,Petrol,TN-14,Chennai,948000
2020,Maruti,IGNIS,Manual,36231,1st Owner,Petrol,KA-04,Bengaluru,600000
2012,Maruti,Wagon R 1.0,Manual,80714,1st Owner,Petrol,KL-07,Kochi,255000
2020,Hyundai,AURA,Manual,882,1st Owner,Petrol,UP-32,Lucknow,794000
2018,Maruti,IGNIS,Automatic,13535,2nd Owner,Petrol,MP-09,Lasudia Mori,501000
2015,Hyundai,Elite i20,Manual,72961,1st Owner,Petrol,KA-51,Bengaluru,649000
2015,Maruti,Ciaz,Manual,62072,2nd Owner,Diesel,MH-05,Mumbai,505000
2018,Hyundai,Grand i10,Manual,26136,2nd Owner,Petrol,KA-09,Bengaluru,618000
2018,Maruti,IGNIS,Automatic,107798,1st Owner,Petrol,UP-16,Faridabad,496000
2014,Maruti,Swift Dzire,Manual,26627,1st Owner,Petrol,KA-41,Bengaluru,569000
2018,Renault,Kwid,Manual,34159,2nd Owner,Petrol,RJ-45,Mansarovar,303000
2014,Maruti,Swift,Manual,67573,2nd Owner,Petrol,DL-4C,New Delhi,363000
2019,Hyundai,Grand i10,Manual,20065,1st Owner,Petrol,GJ-06,Surat,566000
2017,Hyundai,Grand i10,Manual,92995,2nd Owner,Petrol,HR-36,New Delhi,442000
2018,Honda,City,Manual,67517,1st Owner,Petrol,GJ-27,Ahmedabad,731000
2016,Honda,Jazz,Manual,44688,1st Owner,Petrol,MH-12,Pune,536000
2017,Hyundai,Creta,Manual,72752,1st Owner,Diesel,WB-20,Kolkata,804000
2017,Hyundai,Grand i10,Automatic,42133,1st Owner,Petrol,DL-4C,New Delhi,496200
2015,Maruti,Celerio,Automatic,94224,2nd Owner,Petrol,KA-51,Bengaluru,372000
2014,Hyundai,i20,Manual,78530,2nd Owner,Diesel,GJ-05,Surat,374000
2010,Maruti,Wagon R 1.0,Manual,43861,1st Owner,Petrol,AP-09,Hyderabad,283000
2014,Mahindra,XUV500,Manual,107080,2nd Owner,Diesel,MH-46,Nasik,561000
2017,Hyundai,Creta,Automatic,61770,1st Owner,Petrol,DL-4C,Noida,945000
2017,Maruti,Alto 800,Manual,51759,1st Owner,Petrol,RJ-14,Mansarovar,279000
2016,Maruti,Ertiga,Manual,97166,1st Owner,Diesel,GJ-36,Rajkot,741000
2019,Hyundai,NEW SANTRO,Manual,42285,1st Owner,Petrol,TS-07,Hyderabad,491000
2017,Maruti,Baleno,Manual,54186,1st Owner,Petrol,MH-12,Pune,622000
2018,Maruti,Celerio X,Manual,82558,1st Owner,Petrol,RJ-45,Mansarovar,520000
2017,Maruti,Ertiga,Manual,101647,3rd Owner,Diesel,GJ-01,Ahmedabad,716000
2018,Maruti,Dzire,Automatic,91932,1st Owner,Diesel,UP-14,Noida,606000
2014,Hyundai,Eon,Manual,24501,3rd Owner,Petrol,WB-24,Kolkata,209000
2019,Ford,Ecosport,Manual,22276,1st Owner,Petrol,MH-04,Mumbai,813000
2018,Hyundai,Elite i20,Manual,56838,2nd Owner,Petrol,MP-04,Lasudia Mori,522000
2016,Hyundai,Creta,Manual,113371,1st Owner,Diesel,TS-08,Hyderabad,848000
2021,Maruti,S PRESSO,Manual,22620,1st Owner,CNG,DL-9C,New Delhi,470000
2014,Maruti,Swift,Manual,70344,1st Owner,Petrol,UP-32,Lucknow,378000
2016,Maruti,Swift Dzire,Manual,79683,1st Owner,Diesel,RJ-14,Jaipur,541000
2016,Honda,Brio,Manual,65453,1st Owner,Petrol,KA-01,Bengaluru,476000
2020,Maruti,New Wagon-R,Manual,38035,2nd Owner,CNG,TS-07,Hyderabad,610000
2015,Honda,City,Manual,79513,1st Owner,Petrol,WB-02,Kolkata,467000
2021,Tata,Safari,Automatic,25239,1st Owner,Diesel,TN-14,Chennai,1810000
2013,Maruti,Alto 800,Manual,47583,1st Owner,Petrol,WB-02,Kolkata,196000
2018,Maruti,Vitara Brezza,Manual,74221,1st Owner,Diesel,HR-36,Gurugram,745000
2014,Hyundai,Grand i10,Manual,55842,2nd Owner,Petrol,WB-08,Kolkata,361000
2016,Maruti,Celerio,Automatic,63509,1st Owner,Petrol,MH-34,Nagpur,413000
2016,Maruti,Swift Dzire,Manual,29742,1st Owner,Petrol,GJ-27,Ahmedabad,558000
2012,Maruti,Swift Dzire,Manual,93338,3rd Owner,Diesel,KA-01,Bengaluru,456000
2019,Honda,Jazz,Automatic,63460,1st Owner,Petrol,KA-05,Bengaluru,794000
2018,Hyundai,Grand i10,Manual,25345,1st Owner,Petrol,UP-78,Ghaziabad,518000
2017,Hyundai,Grand i10,Manual,17556,1st Owner,Petrol,GJ-01,Ahmedabad,520000
2017,Hyundai,New Elantra,Automatic,42802,1st Owner,Petrol,GJ-06,Ahmedabad,962000
2018,Maruti,Wagon R 1.0,Manual,49694,1st Owner,Petrol,WB-12,Kolkata,345000
2019,Maruti,Celerio X,Automatic,27301,1st Owner,Petrol,MH-49,Nagpur,591000
2020,Tata,NEXON,Automatic,72812,2nd Owner,Petrol,TS-07,Hyderabad,989000
2012,Honda,City,Manual,99067,2nd Owner,Petrol,DL-13,New Delhi,351000
2015,Maruti,Wagon R 1.0,Manual,33901,1st Owner,Petrol,KA-03,Bengaluru,394000
2021,Renault,Kwid,Automatic,10605,1st Owner,Petrol,MH-15,Nagpur,478000
2017,Maruti,S Cross,Manual,113791,2nd Owner,Diesel,GJ-04,Surat,629000
2018,Honda,City,Automatic,52370,1st Owner,Petrol,HR-26,New Delhi,891000
2016,Maruti,Wagon R 1.0,Automatic,95574,1st Owner,Petrol,KA-02,Bengaluru,401000
2021,Maruti,New Wagon-R,Manual,36430,1st Owner,CNG,UP-78,Lucknow,566000
2016,Maruti,Ciaz,Manual,61392,1st Owner,Petrol,MH-01,Pune,566000
2018,Hyundai,Creta,Automatic,80448,1st Owner,Diesel,HR-26,Noida,1133000
2021,KIA,SONET,Manual,11425,1st Owner,Petrol,UP-16,Faridabad,991000
2016,Maruti,Baleno,Manual,21728,1st Owner,Petrol,KA-04,Bengaluru,709000
2018,Hyundai,Creta,Manual,87542,1st Owner,Diesel,UP-14,Lucknow,792000
2019,Tata,NEXON,Automatic,70632,1st Owner,Petrol,DL-10,New Delhi,862000
2022,Skoda,SLAVIA,Automatic,7281,1st Owner,Petrol,KA-05,Bengaluru,1373000
2016,Hyundai,i20 Active,Manual,61631,2nd Owner,Petrol,MH-46,Mumbai,482000
2019,Maruti,Ciaz,Automatic,50335,1st Owner,Petrol,GJ-06,Ahmedabad,899000
2017,Maruti,Alto 800,Manual,54791,1st Owner,Petrol,TS-07,Hyderabad,331000
2014,Maruti,Celerio,Manual,77796,2nd Owner,Petrol,MH-01,Nasik,294000
2017,Maruti,Dzire,Automatic,38846,1st Owner,Petrol,KL-27,Kochi,680000
2018,Ford,FREESTYLE,Manual,37625,1st Owner,Diesel,HR-30,Gurugram,500000
2017,Volkswagen,Polo,Manual,83286,1st Owner,Petrol,GJ-01,Ahmedabad,535000
2022,Tata,TIGOR,Manual,25981,1st Owner,CNG,GJ-03,Rajkot,759000
2020,Maruti,New Wagon-R,Manual,61785,1st Owner,CNG,HR-76,Gurugram,530000
2019,KIA,SELTOS,Manual,33250,2nd Owner,Diesel,KA-53,Bengaluru,1246000
2015,Hyundai,Elite i20,Manual,59987,2nd Owner,Petrol,DL-10,New Delhi,520000
2017,Maruti,Baleno,Manual,39217,2nd Owner,Petrol,TN-10,Chennai,627000
2011,Hyundai,i10,Manual,33326,1st Owner,Petrol,HR-51,New Delhi,222000
2019,Renault,TRIBER,Manual,24945,1st Owner,Petrol,TN-19,Chennai,626000
2019,Maruti,Dzire,Manual,58422,1st Owner,Petrol,GJ-01,Rajkot,628000
2015,Nissan,Micra,Automatic,75961,1st Owner,Petrol,GJ-01,Ahmedabad,312000
2017,Maruti,IGNIS,Automatic,98700,2nd Owner,Diesel,TS-07,Hyderabad,584000
2018,Ford,FREESTYLE,Manual,77281,1st Owner,Petrol,KL-39,Kochi,478000
2010,Hyundai,i10,Manual,60716,1st Owner,Petrol,MH-12,Pune,229000
2019,Maruti,New Wagon-R,Manual,90671,1st Owner,CNG,HR-29,New Delhi,476000
2016,Renault,Kwid,Manual,83219,1st Owner,Petrol,MH-02,Mumbai,270000
2012,Maruti,Wagon R 1.0,Manual,36703,1st Owner,Petrol,MH-31,Pune,274000
2016,Honda,Jazz,Manual,76046,2nd Owner,Petrol,KA-41,Bengaluru,490000
2017,Mahindra,KUV 100 NXT,Manual,28059,2nd Owner,Petrol,WB-26,Kolkata,423000
2020,Renault,Duster,Manual,95678,1st Owner,Petrol,KA-32,Bengaluru,1056000
2022,Renault,Kwid,Automatic,8786,1st Owner,Petrol,DL-12,Ghaziabad,573000
2017,Maruti,Alto K10,Manual,93133,3rd Owner,Petrol,TS-15,Hyderabad,317000
2018,Maruti,Alto 800,Manual,23563,1st Owner,Petrol,MH-01,Navi Mumbai,350000
2015,Maruti,Wagon R 1.0,Manual,32750,1st Owner,Petrol,GJ-05,Surat,331000
2018,Honda,Amaze,Manual,55763,1st Owner,Petrol,HR-87,Gurugram,591000
2016,Skoda,Octavia,Automatic,38959,1st Owner,Petrol,MH-09,Pune,1281000
2021,Hyundai,GRAND I10 NIOS,Manual,43570,1st Owner,CNG,MH-43,Mumbai,684000
2017,Hyundai,Grand i10,Manual,39616,1st Owner,Petrol,MH-46,Navi Mumbai,433000
2014,Hyundai,Eon,Manual,17410,1st Owner,Petrol,BR-01,Patna,223000
2021,Tata,ALTROZ,Manual,3895,1st Owner,Petrol,TN-12,Chennai,753000
